block_date,n_swaps,simple_avg_next_bps,usd_weighted_next_bps,simple_avg_15s_bps,usd_weighted_15s_bps,total_usd,lp_pnl_next_dollar,lp_pnl_15s_dollar
2025-08-23,5881,2.979694579644804,2.0197042787125823,2.8741943383880977,1.8474294607084203,1.2531046213111429E8,26322.400940595497,24169.351335796004
2025-08-24,7087,2.836592687825299,0.20823342979370424,2.8423149069890266,-0.33381726191440597,2.693461916784742E8,5914.82267646314,-7750.4263667596815
2025-08-25,7691,4.017044977556009,-0.8204397790648993,3.791465108154996,-1.0404248198994026,2.5522386080244523E8,-15576.104064673676,-21280.242984740118
2025-08-26,6376,7.925441243878634,-0.24681956875093483,7.843526363827085,-0.5835655593889493,1.376114327889476E8,-3082.2215949396937,-7668.73211624308
2025-08-27,5850,2.102433199985604,-2.1977571227754624,2.0790112493730013,-3.021998598218613,3.443631320589648E8,-75424.27034183795,-103672.94873996245
2025-08-28,4636,2.5270385827769983,0.34536400996958266,2.4140667445461452,0.18046459257690134,4.417102145758428E7,1581.2817899524232,856.0495003478036
2025-08-29,6070,2.4179560506080158,1.213503645708768,2.185662196508874,0.7180808335143505,8.948766210472332E7,11978.947849421102,7421.79544734861
2025-08-30,4120,2.4667999736782567,0.9602811112872022,2.4140033306106674,0.5103950200755775,3.2739735764603123E7,3249.8254827739934,1766.8676731531407
2025-08-31,4070,2.9671784355688624,-1.6893188828331922,2.9517736107567574,-1.872462979390153,5.791265690882051E7,-9728.926977958068,-10789.057538297582
2025-09-01,5849,3.121921564162706,0.7290225290457377,2.951871039424405,0.5276281268905515,8.327528720907511E7,8815.6843412069,7146.911696758995
2025-09-02,5605,3.086517054957115,0.21558844109239414,2.987874263255715,-0.05605407383224502,7.441841634864904E7,1766.2625757709152,-266.06265199438405
2025-09-03,4842,2.5397479475779003,-0.09604724801327019,2.436918894986198,-0.29070312422416,1.4328733222775656E8,-1441.404154468892,-4251.321101112647
2025-09-04,4763,2.611928163749704,1.2501970439668502,2.610130726829736,1.1747391109996148,6.581328028676969E7,10136.057132849128,9659.551265360526
2025-09-05,4621,2.2512998473297046,-0.8839327239388668,1.9244840420877798,-1.68802404464381,6.157626373890527E7,-5403.968111006398,-10286.263070306191
2025-09-06,3242,4.373853516979195,-0.06459970694456417,4.26026565774425,0.4718948359674767,1.7792911822355524E7,-109.93172103561876,851.7112562832231
2025-09-07,2952,3.0264676043182375,0.19939204225132967,2.931135914477976,-0.18199124349484477,1.2972365008905023E7,259.8307082411003,-235.07657788580758
2025-09-08,3552,2.527877030766816,-0.5013249477778727,2.3803510653067397,-0.9822232221113916,3.093862337379539E7,-1546.7248943689622,-3037.902263473804
2025-09-09,3728,3.2119588537428942,0.20431290257191978,3.037932234414896,-0.21758977075601488,3.773487218640794E7,771.3105749545252,-816.1923882291243
2025-09-10,4194,2.9492750229390654,0.5584031361094226,2.9733039805724815,0.32244497378417153,4.063860465718587E7,2286.0587197452974,1325.1456135530066
2025-09-11,4491,2.902037153122751,-0.6024540012721502,2.686416171840353,-1.4768416075173167,5.474512588839524E7,-3128.983186741706,-7838.4989145811705
2025-09-12,5061,2.8704703609499167,-1.4274095822484616,2.8545577407587333,-0.9235870519479555,1.0846885714902262E8,-15601.604354583762,-10016.274849735588
2025-09-13,5178,3.1841357031927577,0.2249995921402851,3.0648647700361593,-0.286506430082161,1.2177291615568094E8,3282.517495174883,-2927.899278118611
2025-09-14,4424,3.139703273384147,0.2503267111690086,3.0159589174994044,-0.17112724962535056,6.332246795426458E7,1585.968295579383,-1085.0533140079892
2025-09-15,4613,13.869295108047519,-0.568997607364169,13.767523112102529,-1.2863751147906428,1.731901946665333E8,-9433.54756309774,-21868.226956622617
2025-09-16,3539,2.7255960754644395,1.2070013828196418,2.6420854600489223,1.0444769521043327,3.645963770226526E7,4611.341422889221,4039.578770669391
2025-09-17,4773,2.5822505415364985,-1.8325517286584647,2.3085088569567054,-0.9365580194994372,5.8009878734578855E7,-10582.049849522995,-5212.1250501353425
2025-09-18,4314,2.943744517574387,0.6747537879242304,2.7774289229106772,0.39545380536506924,4.7134077905361086E7,3208.1659015356013,1889.3102495308779
2025-09-19,4550,3.332041465168441,0.28110367681828013,3.2380107826305107,-0.22036302643914044,3.67245786099115E7,1042.7846605133623,-796.736901686372
2025-09-20,3115,3.2229674935543295,2.2808012028110376,3.1711184082685673,2.395089772562956,1.5888900881854167E7,3628.9938666105495,3811.6841172366976
2025-09-21,3640,3.0862146321033324,1.4633655901072482,2.9549038108130485,1.0892765317706525,2.908640304700468E7,4282.278804480576,3194.489345392031
2025-09-22,6222,2.943007585868059,-0.5836434092475874,2.4213934962888235,-2.475086229852948,1.0098098407346286E8,-5721.7006358631315,-24937.754771403874
2025-09-23,4658,2.3711137992715288,0.6528287427688507,2.2690006111677627,0.38070546274590056,5.055182837288886E7,3302.199583041498,1926.9691135637954
2025-09-24,4989,3.1571185156033517,0.5946338748684018,3.177511748854109,0.9055939273336481,4.717238345177605E7,2956.4407997665794,4468.843801346702
2025-09-25,7535,3.069932564370994,1.7109116905286539,2.942554699317546,1.7775552277981004,1.504524254387488E8,26413.47953653568,27478.26405001659
2025-09-26,5846,3.0027534810008745,1.6910741003389607,2.8481927613434825,1.4229283458233963,7.115595569461574E7,12326.9144275992,10433.282922768143
