usd_amount,markout_bps
7111.4913,-2.621327
99.6278,26.933498
233.5849,0.598721
673.9608,0.368413
283.9658,4.050960
8660.4796,-0.172675
8.9442,0.022161
2083.7993,-0.364367
32.2570,3.072763
99.8497,3.271503
1207.7817,3.770080
210.0195,0.906960
2248.4998,2.116793
494.6737,2.246983
661.9069,1.131649
15143.8837,-2.588051
283.1228,3.826297
846.2295,7.820948
1022.9479,-0.101865
141.3834,-3.388472
72.5574,-1.032824
1114.8560,5.436967
998.0511,13.036146
1413.8056,4.252419
816.5332,-1.798319
514.4861,-2.115901
1746.4839,5.340959
0.3118,-0.000484
1065.3818,-1.194116
1474.0843,2.760632
10.0455,2.830895
6995.0094,-2.935439
118.4789,4.012998
353.4748,-1.459332
34.7006,0.864760
17228.9170,8.551524
28.5185,14.206066
6862.0974,-4.842780
140.7318,0.026560
19.1916,3.587963
150.4523,2.720328
397.7528,2.746390
100.4473,0.124549
730.7844,0.164061
578.5789,-2.717232
4429.2516,-0.758347
2014.8635,-3.268699
177.1575,-3.164122
586.0503,1.040688
36212.4248,8.913474
38638.0072,1.851729
74.8577,3.597980
6075.7899,3.891683
2947.1624,0.558752
0.0844,0.698769
261.0870,-0.977823
668.7740,1.604774
1004.3878,-1.716819
81.7896,0.900946
52.0716,1.939405
1169.0667,-3.692262
146.3390,5.818757
39.3544,-1.976972
79.8523,0.003807
550.2464,1.045053
935.7152,0.047453
5266.1917,0.383498
48.7465,2.958605
6.9094,2.283324
1.0601,2.976984
2083.8130,3.076833
3756.1547,-0.096518
108.6398,-2.115230
141.2101,3.973148
6.8925,3.980180
6.3964,0.403383
18.1907,1.991334
6929.6990,-1.698902
236.3289,1.156192
29.1824,29.236963
6813.2974,2.049171
3098.8267,0.251956
210.2386,1.589593
202.2787,0.077594
133.0234,1.987307
5207.8762,2.458927
198.2697,-0.538323
96.5882,0.046781
59.6714,0.054235
5.4336,0.000279
1.1865,1.805933
1200.9006,4.541599
172.9558,-0.688731
269.3279,3.201943
11.5047,0.000538
4.9993,0.001289
475.1791,2.103350
208.4746,2.135921
167.9545,-0.604211
211.6102,-0.210333
851.6093,2.925618
349.0567,1.406231
650.6930,2.267774
171.6734,-0.375791
21.2758,0.410072
4597.8370,0.630099
346.5259,0.152285
2159.3544,-3.087905
55.7657,-1.914219
6.9951,1.063931
11.9221,2.148748
498.5417,2.173076
3798.1169,-0.320095
165.4468,0.007879
102.9837,2.215769
1297.7246,-1.389721
181.3843,0.292506
49.5713,1.040640
60.3616,1.675075
11.5775,0.000529
2203.5673,1.858605
102.6516,1.968385
49.8231,0.349450
3760.6307,2.814566
1996.3962,-4.870939
2306.6027,0.009352
12.1267,0.480631
1777.8301,2.222803
12.8380,2.308052
1610.7937,-0.323678
123.3783,1.784995
1623.8351,2.147873
57.1219,4.150612
527.9241,4.178454
2410.1083,3.812095
1663.6576,1.965329
8.9688,1.343088
3457.3069,4.548182
36034.4732,12.390234
704.2021,-1.890425
499.8224,3.349780
355.7859,-0.144497
1504.1664,-0.055990
4004.1927,5.521940
44.6862,5.714824
130.8081,1.090730
1047.5977,0.739356
752.1499,-9.209333
3748.8177,-1.813870
94.1755,15.251211
15521.2924,0.510212
593.7852,-5.572641
977.0673,6.062308
1449.7730,-0.518775
12.1685,-1.655323
5729.3868,-1.383342
195.0977,3.518473
3573.9936,3.696862
231.6459,4.939050
332.1061,4.965772
6418.7111,1.408502
1754.3140,5.956708
49.9944,-0.607690
1147.6473,0.818118
483.5839,0.895438
543.3034,-4.803104
4919.0501,-2.019903
29.9979,1.890197
2315.1671,1.571169
8.8260,1.681268
3898.4394,-3.885808
68.0934,4.625785
1179.0889,4.684950
118.8055,-1.071105
40.6921,2.412586
23.3743,-4.556011
10.0064,2.379791
405.4899,3.786278
1052.6417,3.855556
332.3186,-2.815804
2104.2273,-2.700122
272.8667,4.891337
7507.2954,1.190652
168.4475,2.367061
39.6556,10.777581
34.8310,-5.381594
243.5208,-6.369061
1211.1806,-5.772712
899.9072,-1.026636
400.2111,0.944125
3.2813,0.879996
657.3205,-1.740817
5554.6288,0.510640
44.7227,1.179685
645.5225,0.483057
9.2309,0.514041
327.1922,5.592364
1103.3951,12.911591
1048.9618,0.658426
332.8417,0.185780
845.2451,-3.681394
206.7655,0.194843
67.6635,-1.143685
409.4796,2.917420
116.5729,2.942279
3739.9775,-2.222909
12.7783,-0.617396
1496.2439,-0.592260
23.0710,0.816649
15.9382,-0.959681
30217.6843,0.469422
79.2165,1.629034
99.2231,3.773994
3154.8315,5.505284
1810.4927,5.139365
244.6923,3.084207
66.7012,1.303133
1437.6535,4.817939
594.2611,0.558582
972.9848,-4.074262
2497.1277,0.118201
161.5848,0.806573
382.9059,2.603834
1635.3845,1.038022
7103.2157,5.613198
44.4508,-3.028171
229.8059,-3.015200
3847.2752,1.793254
49.8325,3.199971
16786.1760,3.075331
18292.5202,9.014711
114.8963,0.206317
867.4467,2.225923
1489.1078,8.449076
839.4275,1.394812
22.9049,1.435602
4831.7984,0.228365
1012.4946,0.504576
448.0027,4.275130
2584.3630,0.122129
4615.1539,6.225561
102723.7032,16.456385
35.0046,1.502095
60.7370,1.506616
24.7541,4.112181
430.1854,0.512529
1268.9076,-2.892572
85.6704,0.004047
245.3993,0.011587
0.1791,0.021877
373.7361,0.017646
60.0055,-1.204931
436.8132,-0.022687
101.3240,-1.983676
1504.1398,1.778352
363.2715,1.866480
40.0631,0.465813
5.9990,3.086273
424.8779,0.020048
844.9232,0.039863
537.6317,1.200669
954.1849,-1.265369
450.1035,-1.199124
23.5413,0.067500
71.0621,-4.115615
495.8764,1.125193
100.2926,0.004729
100.0705,-0.259821
296.9919,1.744577
24.9126,4.415685
173.1160,1.816978
180.1881,1.833638
676.9168,5.085652
464.7763,0.220374
45.1794,2.028440
42.6436,2.032590
695.8239,0.032822
