victim_tx,protocol,pool,usd_amount
0x2036c2c6995bcba866397c0ac987a4d703607c3ce0d9008af89a343c576e74cf,balancer_v1,0x9b208194acc0a8ccb2a8dcafeacfbb7dcc093f81,18.5708769260412
0x8e83ef6784207fdab168fb1cfea3ad1f3141eeca78724286c2e982f1a575b286,solidly,0xcd452c162da7761f08f656b8e5ede3a385981378,1.362866926801061
0x1c9b08559a72f620609433196276aa45e7434ecaa754ee375e5569e102a60751,curve_v2,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,2787.683892515992
0xdd7c6c96b7e2b6f0f0b4ee7d160d6ba80f1c43e36ca73999a89f9f2cd39a68b9,solidly,0xcd452c162da7761f08f656b8e5ede3a385981378,0.7650971238136
0x70ca5693c45ff934785a3975d44ccbe2a27f65c6cbcbdaad67b5e0c127c3c393,pancakeswap_v3,0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,679.7416472930114
0x0ede522454d482b3cf8af224d64b83a19ace01ef837fae27a635666ff1d06797,balancer_v3,0x50f7d62bde591982e9feeb30de3b6963b3dde2b4,31.72715063200181
0x32e4ed2719332e5403ef06116dfe5832b384692b20c3de8629173982e5ee2e8a,curve_v2,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,7121.821711778278
0x8bfaa58c0c8167ba4d5b31f66d47957cbdf62e60e98f513ed1ca3a6681435680,curve_v1,0xa3f07a2996639368a2b539d1df08c9ae0f992dbd,473.7385005146107
0xdd57146591c7fda8796301d77fb3c25dc1d6caca0c306a73581914b0717ec2dd,solidly,0xcd452c162da7761f08f656b8e5ede3a385981378,2.6790585261167
0x40a347bd3f952d32daf145a7a8cb86e12d2855d034de05dbb956bdfeaea55eb1,pancakeswap_v3,0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,492.0849527655057
0xbd5ebf1dc0331db745dcd2bfe1ed4c45c6f7ebeca88a13f783780ae319bc15a8,pancakeswap_v3,0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,236.5036507955144
0xa8ddc61229a6bed33bdda1debef14aeae0e327622aa5170b3e4628f158554191,uniswap_v3,0x35644fb61afbc458bf92b15add6abc1996be5014,4.2381717917508
0xa6ac81f720c67a536b4b95b62f06fd23989c1618349ad821dccefffa9a9c65a4,curve_v2,0x5426178799ee0a0181a89b4f57efddfab49941ec,73.707616786716
0xabad3055739648933754292089bb5ccb7b6c23269edb207d851a53884e07850f,uniswap_v3,0x35644fb61afbc458bf92b15add6abc1996be5014,8.762951953324762
0x9265e63f1e7c318db6e2b77c104303dc6bffeb843c51658571bb41d7ddb341d6,curve_v2,0x5426178799ee0a0181a89b4f57efddfab49941ec,66.72785193384482
0xbba8b413197bf58369de5b1e461dce98fb93486e7ee02c7c129779884a542c7a,pancakeswap_v3,0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,816.4292218765323
0xb41bb5cf571c70f33502ff936d469154bbcb8bd0d549b6cf195e3fc8a81bbb05,balancer_v3,0x39e2b75f76d22024045c2bfff411682333148d51,1066.853991274609
0xea09782b9a7079e2495cb56b464b2ebe19d2765f09484bf4470a1e4c22bd95e7,solidly,0xcd452c162da7761f08f656b8e5ede3a385981378,0.777928182730224
0xd60a2afc97dd7e65d95c5a894630bb8b8fca91ed8e8271242ad7655e6bef22cf,uniswap_v3,0x35644fb61afbc458bf92b15add6abc1996be5014,6.256527544637188
0xc6b2cf746ca19acb66228b788743ebf0153a01a1614af529c67868692f0e6dd8,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,15.0747095274878
0x3ce06b6742a39d260c38f88a6f3e556f43c4126967428f980a873a2dc19339db,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,23.97984013459735
0xe0f1d69dc29b854f32610225ee5c58eac833016006c25b1e205e47aa9d62f8b4,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,102.7275827544566
0x7a00209784edbd132a83cf9ca6b2dcc44ef57bdd7b98ecd064c8d4461424116b,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,95.4307076393934
0xd452b4e35b54ba5f9c5673971abd807161c6f6417df99d501eb4be38e81693e9,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,55.30368012173935
0xe9447c5d68e062dea4995b8ad3c36078b774ce582f3a11852aa438b7742e5429,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,95.11479124135144
0xbc121965e16e224432d7ec00e3969409e2d6c21f848d966e2499d1fa524f32e4,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,21.8531499194855
0xcb23e22de2267615e752777bbc335d32b7e9d0c88f41b02d161977c14f47a9ee,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,79.57476531221899
0x4e3ad6f2bde51a646dc4409c4372f09535850edc24a40d320e20d58ff42886f1,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,54.28120742533574
0xe5685fd0707547f175d18961034cc932e97a35f2ccbc5a2ad6b201b7eb764775,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,52.7033212225348
0xdba4a81cb2bc3987a5d5df1cc0d823f5ed352f3a5474918d2b2ccd1acc9c9db8,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,46.02451921281256
0xedff1948b641ac36cdcfea9fa062c0b509efbc32c9b463d28eebab1c41782c6e,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,54.83054153946365
0xf9139a0771aea9c092b077609ac8b5f2bd96576ae40855902613e7c01a508493,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,111.6467169606208
0x8184dbb9e7647373c98687059a612baf07ad89266b2eb857e75f4378e4800104,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,118.6452690536471
0xed3edb5cc143c80dd318f7ee002da407d052f23f4d6ab00a9469ce97f6f29366,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,51.7256637721956
0x6635d70abe03cef828e780ca2660008e0d2524d54389c9f7153a89cb9d63a798,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,333.0240901464886
0x4a823b92b3fec51c53695c192550725868c3b7f91230c9f0129fabcf29e3b40a,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,113.8160227958139
0xe18e4784c533e0473d421ac5ec5eb3d9c9eb4f4e2e1184b79dbc838b7041db20,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,59.8565986184678
0xe669c952b481fec16d8c016f491a0a41ff6675b641ee03ac94fc739354a0a807,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,394.694612958123
0x2cb06aacfe92a407c16d8418a2193de9ee17062d2a476cb2f714774f9be70a4b,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,67.580213952216
0xb0402bb928d1543d03bdca0202ed3f4b2f1e8047096fcd1eabd9fea762dea4c4,uniswap_v4,0x000000000004444c5dc75cb358380d2e3de08a90,3855.208485550336
