pct,size_usd
4.32,1.3664467277786
4.33,1.3749914236149
4.34,1.38245869558186
4.35,1.3889765640492
4.36,1.3950406789728
4.37,1.39968204377114
4.38,1.4054115729583
4.39,1.412433194995429
4.4,1.420067780495
4.41,1.429424873106641
4.42,1.4384657745877
4.43,1.44622414445532
4.44,1.454014746285802
4.45,1.46081648565546
4.46,1.4662829677111
4.47,1.4715836083664
4.48,1.476486107807456
4.49,1.481584320434896
4.5,1.4862499542627
4.51,1.4910072409929
4.52,1.496115107258819
4.53,1.4992333109715
4.54,1.500994628640304
4.55,1.5064845364032
4.56,1.513807837686
4.57,1.5209879807535
4.58,1.527558994587199
4.59,1.535449537098
4.6,1.542807559984041
4.61,1.55189597121
4.62,1.5588298761464
4.63,1.566004590330558
4.64,1.573569486713208
4.65,1.582264755011469
4.66,1.58789035359525
4.67,1.5930647562097
4.68,1.5983441136201
4.69,1.604252740987581
4.7,1.613810402815252
4.71,1.622523980168
4.72,1.632116229056166
4.73,1.6407653839968
4.74,1.6489706752225
4.75,1.655779939643898
4.76,1.6627244713123
4.77,1.6699813054266
4.78,1.679895104330857
4.79,1.69023924464934
4.8,1.6991222974636302
4.81,1.7072783505009
4.82,1.716540505336032
4.83,1.725615417230858
4.84,1.7332815309888
4.85,1.743946526457723
4.86,1.7535709883301
4.87,1.763519945310536
4.88,1.771794308999
4.89,1.78030710776445
4.9,1.7891535557927
4.91,1.796364027000316
4.92,1.8010401434313
4.93,1.8086187883379
4.94,1.818254477399458
4.95,1.827289065881992
4.96,1.839545449719
4.97,1.8515246043117
4.98,1.86012457423376
4.99,1.86855753194037
5.0,1.876687823713437
5.01,1.884354558408988
5.02,1.8922492658882
5.03,1.898073767026
5.04,1.9001106317936
5.05,1.906599293394
5.06,1.916612757259819
5.07,1.9238206539266096
5.08,1.93284729196668
5.09,1.941021425536
5.1,1.9481264849644
5.11,1.954224499383
5.12,1.960739728655532
5.13,1.965414269012305
5.14,1.9705135974532
5.15,1.973435631932492
5.16,1.976168903621848
5.17,1.97786230144555
5.18,1.97907417737601
5.19,1.980052672809292
5.2,1.981211884033862
5.21,1.982321858860536
5.22,1.983721090500773
5.23,1.985474532924035
5.24,1.987257588583352
5.25,1.98880468717762
5.26,1.990335632881628
5.27,1.991511684995289
5.28,1.992385894750869
5.29,1.993208365942075
5.3,1.994086473942833
5.31,1.995045106094719
5.32,1.99596708332509
5.33,1.996670186199164
5.34,1.9972900065798
5.35,1.9979321161989
5.36,1.998480088561
5.37,1.998992243222002
5.38,1.99935592
5.39,1.999661
5.4,1.999946782251708
5.41,2.000370310603915
5.42,2.000909050029986
5.43,2.001631890145
5.44,2.002608173946786
5.45,2.003786177373834
5.46,2.0047644318317
5.47,2.006277111154588
5.48,2.008311243744759
5.49,2.010290113439021
5.5,2.01350914241169
5.51,2.0179719647829
5.52,2.02345939711749
5.53,2.029577398925
5.54,2.0349355437475
5.55,2.0385296125011
5.56,2.04086601808452
5.57,2.04510631773312
5.58,2.0490272946585
5.59,2.0529118096346
5.6,2.056334905716715
5.61,2.060944737423
5.62,2.065678156814056
5.63,2.069897
5.64,2.076764587061
5.65,2.08217872468114
5.66,2.0887654550496
5.67,2.095649913159
5.68,2.0998198315084
5.69,2.10599778522146
5.7,2.1112152010152
5.71,2.11649268438992
5.72,2.1215568984378
5.73,2.12757878785168
5.74,2.134131773282333
5.75,2.13943609227935
