pct,markout_next_bps,markout_15s_bps
61.3,0.466169,0.675094
61.4,0.469166,0.683047
61.5,0.472813,0.690663
61.6,0.477514,0.699773
61.7,0.481808,0.706861
61.8,0.483855,0.717780
61.9,0.487494,0.726002
62.0,0.492750,0.733669
62.1,0.494617,0.741310
62.2,0.498750,0.753658
62.3,0.504349,0.763147
62.4,0.508937,0.773596
62.5,0.511491,0.782226
62.6,0.518032,0.797187
62.7,0.523436,0.807214
62.8,0.527188,0.814245
62.9,0.529438,0.821663
63.0,0.531683,0.829759
63.1,0.535639,0.845444
63.2,0.539828,0.858612
63.3,0.543337,0.868038
63.4,0.548466,0.887300
63.5,0.552701,0.898640
63.6,0.558468,0.904916
63.7,0.563807,0.914684
63.8,0.567808,0.924315
63.9,0.571700,0.939092
64.0,0.575821,0.948887
64.1,0.579274,0.962771
64.2,0.586994,0.973379
64.3,0.591708,0.988280
64.4,0.595559,1.000360
64.5,0.598057,1.005893
64.6,0.602888,1.017440
64.7,0.608265,1.030129
64.8,0.610351,1.039817
64.9,0.615975,1.044792
65.0,0.620282,1.052081
65.1,0.624829,1.057414
65.2,0.629987,1.064846
65.3,0.635810,1.079703
65.4,0.642469,1.096990
65.5,0.647934,1.105363
65.6,0.654807,1.119665
65.7,0.661155,1.124539
65.8,0.665994,1.144096
65.9,0.669372,1.152616
66.0,0.672562,1.164290
66.1,0.675300,1.175403
66.2,0.679551,1.192908
66.3,0.685142,1.197521
66.4,0.689230,1.215843
66.5,0.694456,1.225296
66.6,0.700509,1.235559
66.7,0.705619,1.246152
66.8,0.710122,1.254495
66.9,0.715168,1.266708
67.0,0.721029,1.281473
67.1,0.726092,1.295185
67.2,0.729161,1.306809
67.3,0.734053,1.316538
67.4,0.739752,1.323543
67.5,0.742422,1.336917
67.6,0.746159,1.347879
67.7,0.748513,1.360148
67.8,0.755217,1.372358
67.9,0.759935,1.379971
68.0,0.762961,1.387758
68.1,0.766780,1.398882
68.2,0.774255,1.417221
68.3,0.779329,1.428380
68.4,0.785819,1.442510
68.5,0.788477,1.453869
68.6,0.794932,1.466339
68.7,0.798737,1.482525
68.8,0.806626,1.491680
68.9,0.811048,1.500276
69.0,0.819557,1.514093
69.1,0.826331,1.528432
69.2,0.831272,1.538095
69.3,0.838436,1.563470
69.4,0.842424,1.573479
69.5,0.849343,1.581263
69.6,0.854078,1.587175
69.7,0.859380,1.603923
69.8,0.864409,1.613366
69.9,0.870833,1.634884
70.0,0.875122,1.647504
70.1,0.880113,1.663635
70.2,0.891270,1.678475
70.3,0.901314,1.689861
70.4,0.909362,1.700844
70.5,0.913665,1.707339
70.6,0.920715,1.719236
70.7,0.927652,1.727661
70.8,0.934697,1.739695
70.9,0.944366,1.762122
71.0,0.950896,1.776871
71.1,0.956504,1.791546
71.2,0.961965,1.806471
71.3,0.968818,1.820920
71.4,0.976130,1.829211
71.5,0.990045,1.842261
71.6,1.004627,1.859244
71.7,1.010202,1.872430
71.8,1.016414,1.885593
71.9,1.026829,1.902476
72.0,1.032413,1.910949
72.1,1.040846,1.922039
72.2,1.053126,1.936987
72.3,1.060068,1.950064
72.4,1.065612,1.961800
72.5,1.072433,1.972270
72.6,1.087359,1.984036
72.7,1.097315,1.992850
72.8,1.102081,2.006877
72.9,1.109668,2.027334
73.0,1.117765,2.043027
73.1,1.123047,2.060005
73.2,1.127929,2.071767
73.3,1.137329,2.078640
73.4,1.149304,2.096566
73.5,1.156704,2.117115
73.6,1.166067,2.126436
73.7,1.173253,2.149695
73.8,1.182295,2.176808
73.9,1.192784,2.185062
74.0,1.205860,2.198932
74.1,1.212945,2.214958
74.2,1.226810,2.228226
74.3,1.241341,2.240240
74.4,1.246979,2.253904
74.5,1.256149,2.272982
74.6,1.264603,2.291152
74.7,1.279245,2.313797
74.8,1.284985,2.338625
74.9,1.297219,2.353857
75.0,1.310084,2.365965
75.1,1.333441,2.375653
75.2,1.344146,2.387147
75.3,1.351753,2.400487
75.4,1.359403,2.414112
75.5,1.379379,2.431617
75.6,1.384892,2.448361
75.7,1.401262,2.457479
