pct,reg1_bps,reg2_bps,reg3_bps,reg4_bps,reg5_bps
63.4,0.0000,0.3560,0.6433,0.9641,1.5466
63.6,0.0000,0.3707,0.6578,0.9814,1.5724
63.800000000000004,0.0000,0.3834,0.6721,0.9968,1.5989
64.0,0.0000,0.3959,0.6864,1.0113,1.6241
64.2,0.0000,0.4103,0.7025,1.0272,1.6517
64.4,0.0000,0.4246,0.7169,1.0463,1.6790
64.60000000000001,0.0000,0.4383,0.7307,1.0638,1.7070
64.8,0.0000,0.4494,0.7460,1.0827,1.7355
65.0,0.0000,0.4633,0.7600,1.1011,1.7632
65.2,0.0000,0.4778,0.7737,1.1170,1.7892
65.4,0.0000,0.4893,0.7873,1.1352,1.8167
65.60000000000001,0.0000,0.5016,0.8014,1.1514,1.8429
65.8,0.0000,0.5139,0.8160,1.1689,1.8710
66.0,0.0000,0.5285,0.8306,1.1869,1.8975
66.2,0.0000,0.5413,0.8450,1.2047,1.9251
66.4,0.0000,0.5534,0.8611,1.2235,1.9514
66.60000000000001,0.0000,0.5671,0.8764,1.2404,1.9762
66.8,0.0000,0.5783,0.8914,1.2593,2.0021
67.0,0.0254,0.5929,0.9074,1.2772,2.0259
67.2,0.0320,0.6049,0.9231,1.2959,2.0533
67.4,0.0400,0.6174,0.9385,1.3134,2.0819
67.60000000000001,0.0436,0.6298,0.9530,1.3333,2.1110
67.80000000000001,0.0510,0.6434,0.9685,1.3521,2.1414
68.0,0.0661,0.6556,0.9817,1.3713,2.1704
68.2,0.0807,0.6701,0.9949,1.3914,2.2002
68.4,0.0898,0.6826,1.0079,1.4102,2.2289
68.60000000000001,0.1078,0.6960,1.0220,1.4320,2.2581
68.8,0.1217,0.7118,1.0365,1.4500,2.2868
69.0,0.1382,0.7229,1.0531,1.4688,2.3170
69.19999999999999,0.1549,0.7368,1.0678,1.4872,2.3462
69.39999999999999,0.1699,0.7513,1.0832,1.5048,2.3757
69.6,0.1848,0.7629,1.0999,1.5230,2.4062
69.8,0.2005,0.7764,1.1130,1.5403,2.4360
70.0,0.2172,0.7889,1.1289,1.5600,2.4663
70.19999999999999,0.2328,0.8012,1.1441,1.5798,2.4949
70.39999999999999,0.2470,0.8163,1.1597,1.5998,2.5263
70.6,0.2624,0.8288,1.1744,1.6196,2.5575
70.8,0.2762,0.8413,1.1906,1.6406,2.5875
71.0,0.2910,0.8569,1.2062,1.6620,2.6190
71.2,0.3054,0.8708,1.2225,1.6833,2.6502
71.39999999999999,0.3189,0.8848,1.2379,1.7035,2.6808
71.6,0.3352,0.8984,1.2550,1.7249,2.7124
71.8,0.3477,0.9122,1.2708,1.7462,2.7437
72.0,0.3615,0.9269,1.2865,1.7658,2.7747
72.2,0.3770,0.9413,1.3028,1.7862,2.8079
72.39999999999999,0.3900,0.9530,1.3185,1.8077,2.8398
72.6,0.4012,0.9678,1.3356,1.8273,2.8711
72.8,0.4148,0.9807,1.3526,1.8484,2.9032
73.0,0.4331,0.9926,1.3714,1.8692,2.9365
73.2,0.4424,1.0039,1.3893,1.8924,2.9711
73.4,0.4542,1.0167,1.4058,1.9113,3.0022
73.6,0.4704,1.0295,1.4227,1.9322,3.0319
73.8,0.4819,1.0444,1.4397,1.9538,3.0651
74.0,0.4930,1.0579,1.4570,1.9741,3.0986
74.2,0.5073,1.0723,1.4740,1.9926,3.1317
74.4,0.5199,1.0868,1.4903,2.0126,3.1659
74.6,0.5325,1.1023,1.5064,2.0320,3.2010
74.8,0.5440,1.1151,1.5220,2.0557,3.2364
75.0,0.5581,1.1298,1.5377,2.0791,3.2715
75.2,0.5706,1.1441,1.5548,2.1030,3.3065
75.4,0.5808,1.1581,1.5736,2.1285,3.3401
75.6,0.5967,1.1728,1.5909,2.1527,3.3755
75.8,0.6073,1.1882,1.6084,2.1766,3.4117
76.0,0.6205,1.2024,1.6267,2.1996,3.4459
76.2,0.6337,1.2181,1.6460,2.2229,3.4819
76.4,0.6468,1.2315,1.6647,2.2492,3.5192
76.6,0.6592,1.2482,1.6844,2.2704,3.5563
76.8,0.6741,1.2625,1.7044,2.2941,3.5909
77.0,0.6861,1.2772,1.7239,2.3193,3.6280
77.2,0.7001,1.2936,1.7444,2.3425,3.6647
77.4,0.7141,1.3088,1.7637,2.3683,3.7043
77.60000000000001,0.7268,1.3240,1.7831,2.3928,3.7429
77.8,0.7408,1.3416,1.8030,2.4177,3.7811
78.0,0.7540,1.3578,1.8225,2.4444,3.8203
78.2,0.7661,1.3751,1.8417,2.4686,3.8577
78.4,0.7795,1.3912,1.8617,2.4934,3.8987
78.60000000000001,0.7936,1.4078,1.8818,2.5203,3.9374
78.8,0.8057,1.4257,1.9007,2.5457,3.9759
79.0,0.8214,1.4416,1.9196,2.5727,4.0139
79.2,0.8328,1.4585,1.9399,2.5988,4.0547
79.4,0.8477,1.4756,1.9590,2.6247,4.0959
79.60000000000001,0.8651,1.4911,1.9785,2.6520,4.1381
79.80000000000001,0.8769,1.5068,1.9972,2.6784,4.1791
80.0,0.8923,1.5216,2.0145,2.7080,4.2212
80.2,0.9080,1.5358,2.0338,2.7335,4.2642
80.4,0.9213,1.5541,2.0558,2.7595,4.3064
80.60000000000001,0.9369,1.5716,2.0790,2.7893,4.3509
80.80000000000001,0.9508,1.5892,2.1023,2.8175,4.3961
81.0,0.9640,1.6066,2.1275,2.8468,4.4405
81.2,0.9790,1.6256,2.1504,2.8763,4.4822
81.39999999999999,0.9912,1.6457,2.1742,2.9044,4.5275
81.6,1.0025,1.6633,2.1980,2.9357,4.5706
81.8,1.0174,1.6823,2.2218,2.9651,4.6194
82.0,1.0299,1.7023,2.2458,2.9934,4.6661
82.19999999999999,1.0457,1.7208,2.2674,3.0201,4.7123
82.39999999999999,1.0599,1.7414,2.2892,3.0505,4.7618
82.6,1.0746,1.7611,2.3143,3.0811,4.8096
82.8,1.0920,1.7810,2.3398,3.1124,4.8556
83.0,1.1081,1.8015,2.3647,3.1447,4.9047
83.2,1.1234,1.8226,2.3903,3.1772,4.9550
83.39999999999999,1.1398,1.8432,2.4161,3.2071,5.0030
83.6,1.1547,1.8637,2.4424,3.2392,5.0515
83.8,1.1713,1.8848,2.4694,3.2716,5.1035
84.0,1.1888,1.9056,2.4951,3.3040,5.1531
84.2,1.2047,1.9263,2.5212,3.3393,5.2081
84.39999999999999,1.2211,1.9474,2.5465,3.3712,5.2621
84.6,1.2387,1.9681,2.5728,3.4057,5.3136
